Segundo,Bytes_Por_Segundo
40.269853644,1444
40.269925532,1444
40.269980941,1444
40.270057826,1444
40.270119106,1444
40.270190772,1444
40.270262143,1444
40.270321444,1444
40.270375588,1444
40.270453512,1444
40.270512255,1444
40.270584343,1444
40.270641667,1444
40.270716652,1444
40.270770999,1444
40.270849661,1444
40.270924893,1444
40.270981366,1444
40.271039296,1444
40.271116489,1444
40.271174709,1444
40.271243587,1444
40.271307386,1444
40.271377765,1444
40.271432366,1444
40.271507599,1444
40.27156752,1444
40.271638508,1444
40.271697289,1444
40.271771623,1444
40.271825812,1444
40.271903433,1444
40.271994405,1444
40.27203472,1444
40.272096994,1444
40.272168607,1444
40.272224825,1444
40.272298548,1444
40.272357443,1444
40.272430535,1444
40.272488846,1444
40.27256156,1444
40.272616665,1444
40.272693607,1444
40.272755626,1444
40.272825683,1444
40.272881136,1444
40.272956438,1444
40.273013689,1444
40.273088518,1444
40.273146466,1444
40.273220571,1444
40.273274798,1444
40.273352697,1444
40.273431735,1444
40.273504593,1444
40.273578907,1444
40.27361569,1444
40.273669647,1444
40.273748494,1444
40.273811094,1444
40.27388066,1444
40.273931986,1444
40.274019637,1444
40.274086409,1444
40.274143515,1444
40.274201725,1444
40.2742745,1444
40.274375401,1444
40.274406472,1444
40.274516484,1444
40.274539809,1444
40.274924392,1444
40.275089731,1444
40.275104107,1444
40.275110305,1444
40.275116089,1444
40.275170088,1444
40.275184301,1444
40.275190237,1444
40.275195578,1444
40.275270365,1444
40.275335703,1444
40.275344377,1444
40.275395758,1444
40.27546172,1444
40.275518417,1444
40.275592805,1444
40.275653264,1444
40.275724712,1444
40.275779187,1444
40.275856845,1444
40.27591499,1444
40.276002314,1444
40.276065922,1444
40.27612148,1444
40.27617739,1444
40.276251549,1444
40.276320169,1444
40.276382823,1444
40.276444574,1444
40.276517767,1444
40.276579897,1444
40.276655655,1444
40.27675321,1444
40.276782618,1444
40.276839965,1444
40.276911685,1444
40.276967699,1444
40.27704276,1444
40.277105556,1444
40.277174656,1444
40.277230887,1444
40.277306762,1444
40.277362966,1444
40.277437713,1444
40.277500658,1444
40.277568762,1444
40.277626018,1444
40.277701531,1444
40.277756979,1444
40.27783249,1444
40.277893881,1444
40.277964825,1444
40.278024907,1444
40.278097588,1444
40.278157213,1444
40.278228472,1444
40.278288339,1444
40.27836076,1444
40.278419834,1444
40.278491539,1444
40.278550661,1444
40.278629354,1444
40.278723461,1444
40.278763809,1444
40.278939513,1444
40.278950525,1444
40.279010329,1444
40.27902146,1444
40.279075415,1444
40.279149713,1444
40.27920726,1444
40.279281684,1444
40.279340266,1444
40.27941454,1444
40.27947081,1444
40.279545729,1444
40.279604364,1444
40.279677646,1444
40.279734461,1444
40.279809636,1444
40.279864145,1444
40.279965962,1444
40.280062774,1444
40.280075722,1444
40.280127955,1444
40.280203619,1444
40.280261059,1444
40.280335498,1444
40.280390753,1444
40.280468675,1444
40.280526573,1444
40.280599468,1444
40.280656279,1444
40.280731681,1444
40.280791321,1444
40.280862491,1444
40.280916442,1444
40.281009567,1444
40.281083739,1444
40.281126733,1444
40.281186067,1444
40.281258624,1444
40.281312695,1444
40.281390675,1444
40.281447735,1444
40.28152246,1444
40.281581458,1444
40.28165361,1444
40.281708208,1444
40.281785565,1444
40.281841894,1444
40.281917693,1444
40.281974824,1444
40.282048417,1444
40.282143001,1444
40.282181688,1444
40.282236883,1444
40.282313644,1444
40.282372202,1444
40.282444612,1444
40.282503504,1444
40.282575688,1444
40.282632735,1444
40.282707424,1444
40.282766741,1444
40.282839601,1444
40.282928635,1444
40.282971757,1444
40.283032054,1444
40.28310452,1444
40.283183207,1444
40.283236697,1444
40.283292799,1444
40.283367668,1444
40.283425539,1444
40.283498827,1444
40.283558431,1444
40.28363262,1444
40.28368688,1444
40.283762785,1444
40.283822783,1444
40.283894743,1444
40.283988953,1444
40.284026931,1444
40.284083979,1444
40.284160135,1444
40.284249741,1444
40.284294086,1444
40.284356344,1444
40.284422926,1444
40.2844809,1444
40.284553729,1444
40.284610908,1444
40.284685529,1444
40.284742051,1444
40.284815784,1444
40.284872856,1444
40.284948786,1444
40.28500551,1444
40.285080528,1444
40.285134799,1444
40.285211564,1444
40.285270647,1444
40.285343818,1444
40.285421876,1444
40.285474663,1444
40.285818867,1444
40.285956402,1444
40.285968555,1444
40.285974966,1444
40.286027115,1444
40.286038996,1444
40.286044815,1444
40.286051432,1444
40.286110116,1444
40.286133528,1444
40.286190356,1444
40.286266815,1444
40.286321899,1444
40.286411538,1444
40.286491294,1444
40.286529748,1444
40.286583984,1444
40.286660721,1444
40.286719148,1444
40.286793781,1444
40.286850654,1444
40.286925347,1444
40.286990377,1444
40.287061504,1444
40.287122355,1444
40.287188568,1444
40.28724217,1444
40.287319511,1444
40.287373858,1444
40.287451652,1444
40.287533909,1444
40.287583442,1444
40.287640112,1444
40.287715551,1444
40.287774879,1444
40.287848572,1444
40.287908018,1444
40.287979251,1444
40.288051773,1444
40.288111558,1444
40.288170013,1444
40.288243671,1444
40.288300724,1444
40.288374551,1444
40.288430081,1444
40.288505625,1444
40.288586301,1444
40.288637496,1444
40.288693859,1444
40.288769597,1444
40.288824405,1444
40.288901731,1444
40.288963866,1444
40.289032512,1444
40.289087022,1444
40.28916448,1444
40.289218704,1444
40.289296431,1444
40.289357048,1444
40.289427477,1444
40.289481446,1444
40.289560753,1444
40.289616822,1444
40.289691786,1444
40.289764265,1444
40.28982464,1444
40.289884177,1444
40.289955535,1444
40.290014029,1444
40.29008799,1444
40.290145429,1444
40.290218558,1444
40.290273357,1444
40.290351787,1444
40.290412777,1444
40.290482709,1444
40.290537373,1444
40.290614248,1444
40.290671232,1444
40.290756715,1444
40.29084746,1444
40.29089362,1444
40.290949984,1444
40.291011709,1444
40.291066132,1444
40.291141491,1444
40.291202429,1444
40.291272494,1444
40.291326824,1444
40.291404452,1444
40.291462034,1444
40.291536427,1444
40.291595453,1444
40.291667752,1444
40.29172454,1444
40.291800779,1444
40.291876623,1444
40.291932503,1444
40.292039409,1444
40.292092716,1444
40.292151723,1444
40.292196577,1444
40.292258513,1444
40.292327645,1444
40.292383801,1444
40.292458455,1444
40.292523498,1444
40.29259074,1444
40.292652605,1444
40.292723833,1444
40.292780936,1444
40.292855756,1444
40.292932673,1444
40.292989592,1444
40.293057603,1444
40.293118837,1444
40.293177822,1444
40.293251517,1444
40.293317831,1444
40.293380449,1444
40.293442253,1444
40.293513706,1444
40.293575739,1444
40.293645768,1444
40.293705314,1444
40.29377782,1444
40.293838053,1444
40.293909787,1444
40.293971279,1444
40.294040537,1444
40.294100601,1444
40.294172711,1444
40.294237623,1444
40.294304777,1444
40.294367224,1444
40.294438569,1444
40.294523222,1444
40.294573932,1444
40.294692823,1444
40.294728636,1444
40.294807766,1444
40.294851052,1444
40.294939196,1444
40.294973721,1444
40.295052756,1444
40.295100888,1444
40.295162525,1444
40.295226783,1444
40.29528631,1444
40.295357441,1444
40.295417637,1444
40.295490561,1444
40.295546927,1444
40.295621444,1444
40.295680031,1444
40.295753553,1444
40.295814502,1444
40.295884516,1444
40.29596923,1444
40.296048378,1444
40.296107884,1444
40.29615747,1444
40.296218342,1444
40.296280843,1444
40.296627123,1444
40.296763286,1444
40.296774552,1444
40.296780543,1444
40.296836555,1444
40.29684423,1444
40.296850069,1444
40.296856252,1444
40.296912691,1444
40.296939736,1444
40.296993005,1444
40.297070495,1444
40.297133245,1444
40.297202539,1444
40.297279117,1444
40.297335406,1444
40.297392013,1444
40.297465423,1444
40.297529311,1444
40.29759738,1444
40.297654857,1444
40.297730804,1444
40.29778564,1444
40.297861653,1444
40.29792563,1444
40.297992457,1444
40.298047943,1444
40.298124601,1444
40.298183122,1444
40.298256597,1444
40.298353298,1444
40.298408921,1444
40.298465525,1444
40.29852081,1444
40.298582261,1444
40.298651527,1444
40.29873266,1444
40.298783721,1444
40.298840507,1444
40.298916766,1444
40.298983893,1444
40.299047425,1444
40.299102581,1444
40.299178643,1444
40.299235196,1444
40.29931169,1444
40.299392563,1444
40.299442561,1444
40.299500136,1444
40.29957462,1444
40.299631196,1444
40.299706609,1444
40.299771342,1444
