Source IP,Destination IP,Source Port,Destination Port,Protocol,Length,Time Since Reference
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.550553915
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.551546489
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.551595558
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.551674128
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.551711741
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.552695634
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.552819247
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.553819357
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.553941207
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.554939579
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.555061817
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.556027554
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.556061570
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.556146445
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.556188856
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.557179115
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.557296811
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.558302467
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.558399089
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.559442559
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.559564574
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.560511565
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.560545577
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.560610004
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.560654280
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.561664500
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.561765724
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.562806479
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.562906488
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.563928638
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.564049955
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.565015533
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.565034424
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.565135654
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.565175252
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.566151232
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.566303703
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.567273043
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.567433136
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.568395600
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.568525698
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.569479338
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.569545209
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.569616275
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.569659340
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.570631095
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.570732090
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.571774640
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.571874528
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.572897522
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.573014449
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.573983622
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.573998438
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.574102515
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.574140607
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.575115555
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.575238319
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.576240644
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.576356568
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.577380236
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.577499335
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.578447386
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.578482577
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.578552302
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.578595832
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.579600780
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.579668405
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.580727116
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.580841290
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.581881843
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.581976574
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.582953655
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.583002372
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.583032630
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.583081545
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.584087426
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.584203045
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.585228225
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.585326938
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.586350136
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.586450951
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.587416476
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.587470784
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.587516497
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.587564150
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.588570355
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.588667609
